date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:45	183892/183892	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:20%20GMT	https://preview.colorlib.com/theme/yogabest/images/xtrainer-1.jpg.pagespeed.ic.LJV9n807Ae.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xtrainer-1.jpg.pagespeed.ic.LJV9n807Ae.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:45	166855/166855	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:30%20GMT	https://preview.colorlib.com/theme/yogabest/images/xtrainer-2.jpg.pagespeed.ic.FTocvSrody.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xtrainer-2.jpg.pagespeed.ic.FTocvSrody.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:45	246157/246157	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:23%20GMT	https://preview.colorlib.com/theme/yogabest/images/xtrainer-3.jpg.pagespeed.ic.D1qDfBWr4Q.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xtrainer-3.jpg.pagespeed.ic.D1qDfBWr4Q.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:45	113165/113165	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:46%20GMT	https://preview.colorlib.com/theme/yogabest/images/xtrainer-4.jpg.pagespeed.ic.qpFnLoS50K.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xtrainer-4.jpg.pagespeed.ic.qpFnLoS50K.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:46	20024/20024	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Sep%202022%2022:41:46%20GMT	https://preview.colorlib.com/theme/yogabest/blog-single.html	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/blog-single.html	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:46	114482/114482	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:14%20GMT	https://preview.colorlib.com/theme/yogabest/images/ximage_1.jpg.pagespeed.ic.wfbzM9ud7t.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/ximage_1.jpg.pagespeed.ic.wfbzM9ud7t.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:46	72179/72179	---M--	200	added ('OK')	image/jpeg	etag:%22119f3-5bcddf67b979f%22	https://preview.colorlib.com/theme/yogabest/images/image_2.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/image_2.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:46	197983/197983	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:13%20GMT	https://preview.colorlib.com/theme/yogabest/images/ximage_3.jpg.pagespeed.ic.eDYWegvkOt.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/ximage_3.jpg.pagespeed.ic.eDYWegvkOt.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:46	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22631783d0-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:47	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241706-5bcddf8ec37d6-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.min.js	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/js/jquery.min.js	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:47	92689/92689	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/yogabest/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.gIf9CyPxcV.js	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.gIf9CyPxcV.js	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:47	74565/74565	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/yogabest/js/jquery.easing.1.3.js+jquery.waypoints.min.js+jquery.stellar.min.js+owl.carousel.min.js.pagespeed.jc._b269t-dnL.js	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/js/jquery.easing.1.3.js+jquery.waypoints.min.js+jquery.stellar.min.js+owl.carousel.min.js.pagespeed.jc._b269t-dnL.js	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:48	37704/37704	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/yogabest/js/jquery.magnific-popup.min.js+jquery.animateNumber.min.js+scrollax.min.js+google-map.js+main.js.pagespeed.jc.WiE_h7yNKs.js	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/js/jquery.magnific-popup.min.js+jquery.animateNumber.min.js+scrollax.min.js+google-map.js+main.js.pagespeed.jc.WiE_h7yNKs.js	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:48	2125/2125	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Sep%202022%2022:41:48%20GMT	https://preview.colorlib.com/theme/yogabest/css/owl.video.play.png	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/css/owl.video.play.png	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:48	7318/7318	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221c96-5bcdf72df5c88%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:48	7318/7318	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221c96-5bcdf72df5c88%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot?	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:48	4928/4928	---M--	200	added ('OK')	font/woff	etag:%221340-5bcdf72e28905%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.woff	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:49	7140/7140	---MCZ	200	added ('OK')	font/ttf	etag:W/%221be4-5bcdf72eda4be%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.ttf	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:49	41754/41754	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a31a-5bcdf73141864%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.svg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/yogabest/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.bwKY_dlrxy.css)
18:41:49	124725/124725	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/yogabest/css/A.animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css,Mcc.bwKY_dlrxy.css.pagespeed.cf.Z5Ul_cFbMz.css	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/css/A.animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css,Mcc.bwKY_dlrxy.css.pagespeed.cf.Z5Ul_cFbMz	(from https://preview.colorlib.com/theme/yogabest/about.html)
18:41:49	91832/91832	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:10%20GMT	https://preview.colorlib.com/theme/yogabest/images/xbg_4.jpg.pagespeed.ic.-Mkg3GBYVs.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xbg_4.jpg.pagespeed.ic.-Mkg3GBYVs.jpg	(from https://preview.colorlib.com/theme/yogabest/about.html)
18:41:50	119266/119266	---M--	200	added ('OK')	image/jpeg	etag:%221d1e2-5bcddf6a8c1fa%22	https://preview.colorlib.com/theme/yogabest/images/image_4.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/image_4.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
18:41:50	66267/66267	---M--	200	added ('OK')	image/jpeg	etag:%22102db-5bcddf6b8330d%22	https://preview.colorlib.com/theme/yogabest/images/image_5.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/image_5.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
18:41:50	83867/83867	---M--	200	added ('OK')	image/jpeg	etag:%221479b-5bcddf6cb7c7d%22	https://preview.colorlib.com/theme/yogabest/images/image_6.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/image_6.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
